Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Enterprise,CUST_ID_001,PROD_ID_001,None,  345.00 ,  5.00 ,  125.00 ,"  43,125.00 ",0,"  43,125.00 ",  43.13 ,"  41,400.00 ","  1,725.00 ",  1.73 ,9/22/2021,Sep,Q3,2021,James Smith,Montana,USA
Midmarket,CUST_ID_002,PROD_ID_002,None,  549.00 ,  10.00 ,  15.00 ,"  8,235.00 ",0,"  8,235.00 ",  8.24 ,"  5,490.00 ","  2,745.00 ",  2.75 ,1/11/2021,Jan,Q1,2021,Emma Johnson,Paseo,Canada
Small Business,CUST_ID_003,PROD_ID_002,None,  788.00 ,  10.00 ,  300.00 ,"  236,400.00 ",0,"  236,400.00 ",  236.40 ,"  197,000.00 ","  39,400.00 ",  39.40 ,1/27/2022,Jan,Q1,2021,Noah Williams,Paseo,England
Government,CUST_ID_004,PROD_ID_002,None,"  1,725.00 ",  10.00 ,  350.00 ,"  603,750.00 ",0,"  603,750.00 ",  603.75 ,"  448,500.00 ","  155,250.00 ",  155.25 ,8/1/2021,Aug,Q3,2021,Olivia Brown,Paseo,France
Channel Partners,CUST_ID_005,PROD_ID_002,None,  912.00 ,  10.00 ,  12.00 ,"  10,944.00 ",0,"  10,944.00 ",  10.94 ,"  2,736.00 ","  8,208.00 ",  8.21 ,7/8/2022,Jul,Q3,2021,Liam Jones,Paseo,Germany
Midmarket,CUST_ID_006,PROD_ID_002,None,"  2,152.00 ",  10.00 ,  15.00 ,"  32,280.00 ",0,"  32,280.00 ",  32.28 ,"  21,520.00 ","  10,760.00 ",  10.76 ,9/28/2022,Sep,Q3,2021,Ava Davis,Paseo,Italy
Enterprise,CUST_ID_007,PROD_ID_003,None,  345.00 ,  120.00 ,  125.00 ,"  43,125.00 ",0,"  43,125.00 ",  43.13 ,"  41,400.00 ","  1,725.00 ",  1.73 ,9/26/2021,Sep,Q3,2021,Ethan Miller,Velo,India
Government,CUST_ID_008,PROD_ID_004,None,"  1,527.00 ",  250.00 ,  350.00 ,"  534,450.00 ",0,"  534,450.00 ",  534.45 ,"  397,020.00 ","  137,430.00 ",  137.43 ,2/11/2021,Feb,Q1,2021,Isabella Wilson,VTT,Japan
Enterprise,CUST_ID_009,PROD_ID_005,Low,  330.00 ,  3.00 ,  125.00 ,"  41,250.00 ",412.5,"  40,837.50 ",  40.84 ,"  39,600.00 ","  1,237.50 ",  1.24 ,1/12/2022,Jan,Q1,2021,Mason Taylor,Carretera,USA
Channel Partners,CUST_ID_010,PROD_ID_005,Low,  766.00 ,  3.00 ,  12.00 ,"  9,192.00 ",91.92,"  9,100.08 ",  9.10 ,"  2,298.00 ","  6,802.08 ",  6.80 ,4/6/2022,Apr,Q2,2021,Sophia Anderson,Carretera,Canada
Small Business,CUST_ID_011,PROD_ID_005,Low,  494.00 ,  3.00 ,  300.00 ,"  148,200.00 ",1482,"  146,718.00 ",  146.72 ,"  123,500.00 ","  23,218.00 ",  23.22 ,11/19/2021,Nov,Q4,2021,Benjamin Martinez,Carretera,England
Small Business,CUST_ID_012,PROD_ID_001,Low,"  2,498.00 ",  5.00 ,  300.00 ,"  749,400.00 ",7494,"  741,906.00 ",  741.91 ,"  624,500.00 ","  117,406.00 ",  117.41 ,12/20/2021,Dec,Q4,2021,Mia Thomas,Montana,France
Enterprise,CUST_ID_013,PROD_ID_001,Low,  663.00 ,  5.00 ,  125.00 ,"  82,875.00 ",828.75,"  82,046.25 ",  82.05 ,"  79,560.00 ","  2,486.25 ",  2.49 ,2/27/2021,Feb,Q1,2021,Logan Jackson,Montana,Germany
Channel Partners,CUST_ID_014,PROD_ID_002,Low,  766.00 ,  10.00 ,  12.00 ,"  9,192.00 ",91.92,"  9,100.08 ",  9.10 ,"  2,298.00 ","  6,802.08 ",  6.80 ,7/10/2022,Jul,Q3,2021,Charlotte White,Paseo,Italy
Enterprise,CUST_ID_015,PROD_ID_003,Low,  663.00 ,  120.00 ,  125.00 ,"  82,875.00 ",828.75,"  82,046.25 ",  82.05 ,"  79,560.00 ","  2,486.25 ",  2.49 ,3/29/2022,Mar,Q1,2021,Samuel Taylor,Velo,India
Government,CUST_ID_016,PROD_ID_003,Low,"  2,092.00 ",  120.00 ,  7.00 ,"  14,644.00 ",146.44,"  14,497.56 ",  14.50 ,"  10,460.00 ","  4,037.56 ",  4.04 ,10/19/2022,Oct,Q4,2021,Harper Davis,Velo,Japan
Small Business,CUST_ID_017,PROD_ID_004,Low,  494.00 ,  250.00 ,  300.00 ,"  148,200.00 ",1482,"  146,718.00 ",  146.72 ,"  123,500.00 ","  23,218.00 ",  23.22 ,7/31/2022,Jul,Q3,2021,Henry Anderson,VTT,USA
Channel Partners,CUST_ID_018,PROD_ID_006,Low,"  1,989.00 ",  260.00 ,  12.00 ,"  23,868.00 ",238.68,"  23,629.32 ",  23.63 ,"  5,967.00 ","  17,662.32 ",  17.66 ,3/29/2022,Mar,Q1,2021,Amelia Garcia,Amarilla,Canada
Midmarket,CUST_ID_019,PROD_ID_006,Low,  321.00 ,  260.00 ,  15.00 ,"  4,815.00 ",48.15,"  4,766.85 ",  4.77 ,"  3,210.00 ","  1,556.85 ",  1.56 ,7/27/2022,Jul,Q3,2021,Jackson Martinez,Amarilla,England
